,Class,PN,DN2,DN,A1_A,A1_B,D,K,L,Th,n,C,B1_A,B1_B,N_A,N_B,H,RF_d,RF_f1,f1,d,W,X,Y,Z,f2,f3,b,m_kg,LSR,LZR,LZM,LZJ
34,300,class_300,400,"16""",406.4,-,650,571.5,36,M33,20,55.6,411.0,-,483,-,81,469.9,2,2,481,425.4,469.9,471.5,423.9,7,5,-,95.34,-,210,215,220
35,300,class_300,450,"18""",457.0,-,710,628.6,36,M33,24,58.8,462.0,-,533,-,87,533.4,2,2,544,489,533.4,535,487.4,7,5,-,114.86,-,215,220,225
36,300,class_300,500,"20""",508.0,-,775,685.8,36,M33,24,62.0,513.5,-,587,-,94,584.2,2,2,595,533.4,584.2,585.8,531.8,7,5,-,139.38,-,220,225,240
37,300,class_300,600,"24""",610.0,-,915,812.8,42,M39*3,24,68.3,616.5,-,702,-,105,692.2,2,2,703,641.4,692.2,693.7,639.8,7,5,-,222.46,-,250,255,265
38,600,class_600,15,"1/2""",21.3,-,95,66.7,16,M14,4,14.3,22.5,-,38,-,22,34.9,2,2,46,25.4,34.9,36.5,23.8,7,5,-,0.91,-,85,80,85
39,600,class_600,20,"3/4""",26.9,-,115,82.6,18,M16,4,15.9,27.5,-,48,-,25,42.9,2,2,54,33.3,42.9,44.4,31.8,7,5,-,1.36,-,95,90,95
40,600,class_600,25,"1""",33.7,-,125,88.9,18,M16,4,17.5,34.5,-,54,-,27,50.8,2,2,62,38.1,50.8,52.4,36.5,7,5,-,1.59,-,95,90,95
41,600,class_600,32,"1 1/4""",42.4,-,135,98.4,18,M16,4,20.7,43.5,-,64,-,29,63.5,2,2,75,47.6,63.5,65.1,46,7,5,-,2.04,-,105,100,105
42,600,class_600,40,"1 1/2""",48.3,-,155,114.3,22,M20,4,22.3,49.5,-,70,-,32,73.0,2,2,84,54,73,74.6,52.4,7,5,-,2.95,-,120,115,115
43,600,class_600,50,"2""",60.3,-,165,127.0,18,M16,8,25.4,61.5,-,84,-,37,92.1,2,2,103,73,92.1,93.7,71.4,7,5,-,3.63,-,115,110,115
44,600,class_600,65,"2 1/2""",76.1,-,190,149.2,22,M20,8,28.6,77.5,-,100,-,41,104.8,2,2,116,85.7,104.8,106.4,84.1,7,5,-,5.45,-,130,125,135
45,600,class_600,80,"3""",88.9,-,210,168.3,22,M20,8,31.8,90.5,-,117,-,46,127.0,2,2,138,108,127,128.6,106.4,7,5,-,6.81,-,135,130,140
46,600,class_600,100,"4""",114.3,-,275,215.9,26,M24,8,38.1,116.0,-,152,-,54,157.2,2,2,168,131.8,157.2,158.8,130.2,7,5,-,14.98,-,160,155,165
47,600,class_600,125,"5""",139.7,-,330,266.7,30,M27,8,44.5,143.5,-,189,-,60,185.7,2,2,197,160.3,185.7,187.3,158.8,7,5,-,28.6,-,180,175,185
48,600,class_600,150,"6""",168.3,-,355,292.1,30,M27,12,47.7,170.5,-,222,-,67,215.9,2,2,227,190.5,215.9,217.5,188.9,7,5,-,36.32,-,185,180,190
49,600,class_600,200,"8""",219.1,-,420,349.2,33,M30,12,55.6,221.5,-,273,-,76,269.9,2,2,281,238.1,269.9,271.5,236.5,7,5,-,44.04,-,210,205,215
50,600,class_600,250,"10""",273.0,-,510,431.8,36,M33,16,63.5,276.5,-,343,-,86,323.8,2,2,335,285.8,323.8,325.4,284.2,7,5,-,80.36,-,235,230,235
51,600,class_600,300,"12""",323.9,-,560,489.0,36,M33,20,66.7,328.0,-,400,-,92,381.0,2,2,392,342.9,381,382.6,341.3,7,5,-,97.61,-,240,235,245
52,600,class_600,350,"14""",355.6,-,605,527.0,39,M36*3,20,69.9,360.0,-,432,-,94,412.8,2,2,424,374.6,412.8,414.3,373.1,7,5,-,117.59,-,250,245,255
53,600,class_600,400,"16""",406.4,-,685,603.2,42,M39*3,20,76.2,411.0,-,495,-,106,469.9,2,2,481,425.4,469.9,471.5,423.9,7,5,-,166.16,-,270,265,270
54,600,class_600,450,"18""",457.0,-,745,654.0,45,M42*3,20,82.6,462.0,-,546,-,117,533.4,2,2,544,489,533.4,535,487.4,7,5,-,216.1,-,290,285,290
55,600,class_600,500,"20""",508.0,-,815,723.9,45,M42*3,24,88.9,513.5,-,610,-,127,584.2,2,2,595,533.4,584.2,585.8,531.8,7,5,-,277.85,-,305,300,310
56,600,class_600,600,"24""",610.0,-,940,838.2,51,M48*3,24,101.6,616.5,-,718,-,140,692.2,2,2,703,641.4,692.2,693.7,639.8,7,5,-,397.7,-,345,340,350
57,900,class_900,15,"1/2""",21.3,-,120,82.6,22,M20,4,22.3,22.5,-,38,-,32,34.9,2,2,46,25.4,34.9,36.5,23.8,7,5,-,2.72,-,115,115,115
58,900,class_900,20,"3/4""",26.9,-,130,88.9,22,M20,4,25.4,27.5,-,44,-,35,42.9,2,2,54,33.3,42.9,44.4,31.8,7,5,-,2.72,-,125,120,125
59,900,class_900,25,"1""",33.7,-,150,101.6,26,M24,4,28.6,34.5,-,52,-,41,50.8,2,2,62,38.1,50.8,52.4,36.5,7,5,-,3.41,-,140,135,140
