,PN,DN,A1_A,A1_B,D,K,L,n,Th,C,B1_A,B1_B,R1,G,h,RF_d,S,S1,PJ_m_kg,SE_m_kg,RF_f1
56,16,400,406.4,426,580,525,30,16,M27,38,416,435,8,8,85,490,8.0,8.0,35.0,10.38,2
57,16,450,457.0,480,640,585,30,20,M27,42,467,490,8,8,87,550,8.0,8.0,45.0,12.33,2
58,16,500,508.0,530,715,650,33,20,M30,46,519,541,8,8,90,610,8.0,8.0,65.0,14.5,2
59,16,600,610.0,630,840,770,36,20,M33,52,622,642,8,8,95,725,8.0,8.0,94.0,20.72,2
60,25,10,17.2,14,90,60,14,4,M12,14,21,18,3,3,35,40,1.8,1.8,0.5,0.04,2
61,25,15,21.3,18,95,65,14,4,M12,14,25,22,3,3,38,45,2.0,2.0,0.5,0.06,2
62,25,20,26.9,25,105,75,14,4,M12,16,31,29,4,4,40,58,2.3,2.3,1.0,0.09,2
63,25,25,33.7,32,115,85,14,4,M12,16,38,36,4,4,40,68,2.6,2.6,1.0,0.14,2
64,25,32,42.4,38,140,100,18,4,M16,18,46,42,5,5,42,78,2.6,2.6,2.0,0.18,2
65,25,40,48.3,45,150,110,18,4,M16,18,53,50,5,5,45,88,2.6,2.6,2.0,0.22,2
66,25,50,60.3,57,165,125,18,4,M16,20,65,62,5,5,48,102,2.9,2.9,2.5,0.32,2
67,25,65,76.1,76,185,145,18,8,M16,22,81,81,6,6,52,122,2.9,2.9,3.5,0.43,2
68,25,80,88.9,89,200,160,18,8,M16,24,94,94,6,6,58,138,3.2,3.2,4.0,0.61,2
69,25,100,114.3,108,235,190,22,8,M20,26,120,114,6,6,65,162,3.6,3.6,6.0,0.93,2
70,25,125,139.7,133,270,220,26,8,M24,28,145,139,6,6,68,188,4.0,4.0,8.0,1.3,2
71,25,150,168.3,159,300,250,26,8,M24,30,174,165,6,6,75,218,4.5,4.5,10.0,1.9,2
72,25,200,219.1,219,360,310,26,12,M24,32,226,226,6,6,80,278,6.3,6.3,14.0,3.78,2
73,25,250,273.0,273,425,370,30,12,M27,35,281,281,8,8,88,335,7.1,7.1,19.5,5.75,2
74,25,300,323.9,325,485,430,30,16,M27,38,333,334,8,8,92,395,8.0,8.0,26.0,8.25,2
75,25,350,355.6,377,555,490,33,16,M30,42,365,386,8,8,100,450,8.0,8.0,41.0,10.61,2
76,25,400,406.4,426,620,550,36,16,M33,46,416,435,8,8,110,505,8.8,8.8,54.0,14.37,2
