,PN,DN,A1,D,K,L,n,Th,C,N,R,H,T,V,LW,m_kg,RF_d,RF_f1,LSR,LZR,LZJ
49,40,15,21.3,95,65,14,4,M12,16,35,4,22,-,-,"Rc/Rp/NPT_1/2""",0.5,45,2,-,70,-
50,40,20,26.9,105,75,14,4,M12,18,45,4,26,-,-,"Rc/Rp/NPT_3/4""",1,58,2,-,75,-
51,40,25,33.7,115,85,14,4,M12,18,52,4,28,-,-,"Rc/Rp/NPT_1""",1.5,68,2,-,75,-
52,40,32,42.4,140,100,18,4,M16,18,60,6,30,-,-,"Rc/Rp/NPT_1_1/4""",2,78,2,-,85,-
53,40,40,48.3,150,110,18,4,M16,18,70,6,32,-,-,"Rc/Rp/NPT_1_1/2""",2,88,2,-,85,-
54,40,50,60.3,165,125,18,4,M16,20,84,6,34,-,-,"Rc/Rp/NPT_2""",3,102,2,-,90,-
55,40,65,76.1,185,145,18,8,M16,22,104,6,38,-,-,"Rc/Rp/NPT_2_1/2""",4,122,2,-,95,-
56,40,80,88.9,200,160,18,8,M16,24,118,8,40,-,-,"Rc/Rp/NPT_3""",4.5,138,2,-,95,-
57,40,100,114.3,235,190,22,8,M20,24,145,8,44,-,-,"Rc/Rp/NPT_4""",6.5,162,2,-,105,-
58,40,125,139.7,270,220,26,8,M24,26,170,8,48,-,-,"Rc/Rp/NPT_5""",8.5,188,2,-,120,-
59,40,150,168.3,300,250,26,8,M24,28,200,10,52,-,-,"Rc/Rp/NPT_6""",11,218,2,-,125,-
