,PN,DN,A1_A,A1_B,D,K,L,n,Th,C,B1_A,B1_B,G,H_d,B2_A,B2_B,F,f1,f2,f3,W,X,Y,Z,PJ_m_kg,RJ_m_kg
46,16,50,60.3,57,165,125,18,4,M16,19,65,62,5,102,61.5,59,16,2,4.5,4.0,73,87,88,72,2.5,1.0
47,16,65,76.1,76,185,145,18,8,M16,20,81,81,6,122,77.5,78,16,2,4.5,4.0,95,109,110,94,3.0,1.0
48,16,80,88.9,89,200,160,18,8,M16,20,94,94,6,138,90.5,91,16,2,4.5,4.0,106,120,121,105,3.5,1.0
49,16,100,114.3,108,220,180,18,8,M16,22,120,114,6,158,116.0,110,18,2,5.0,4.5,129,149,150,128,4.5,1.5
50,16,125,139.7,133,250,210,18,8,M16,22,145,139,6,188,143.5,135,18,2,5.0,4.5,155,175,176,154,5.5,1.5
51,16,150,168.3,159,285,240,22,8,M20,24,174,165,6,212,170.5,161,20,2,5.0,4.5,183,203,204,182,7.0,2.0
52,16,200,219.1,219,340,295,22,12,M20,26,226,226,6,268,221.5,222,20,2,5.0,4.5,239,259,260,238,9.5,3.0
53,16,250,273.0,273,405,355,26,12,M24,29,281,281,8,320,276.5,276,22,2,5.0,4.5,292,312,313,291,14.0,3.5
54,16,300,323.9,325,460,410,26,12,M24,32,333,334,8,378,328.0,328,24,2,5.0,4.5,343,363,364,342,18.5,5.5
55,16,350,355.6,377,520,470,26,16,M24,35,365,386,8,428,360.0,381,26,2,5.5,5.0,395,421,422,394,27.5,10.0
56,16,400,406.4,426,580,525,30,16,M27,38,416,435,8,490,411.0,430,28,2,5.5,5.0,447,473,478,446,35.0,12.5
57,16,450,457.0,480,640,585,30,20,M27,42,467,490,8,550,462.0,485,30,2,5.5,5.0,497,523,524,496,45.0,16.5
58,16,500,508.0,530,715,650,33,20,M30,46,519,541,8,610,513.5,535,32,2,5.5,5.0,549,575,576,548,65.0,21.5
59,16,600,610.0,630,840,770,36,20,M33,52,622,642,8,725,616.5,636,32,2,5.5,5.0,649,675,676,648,94.0,28.5
