,PN,DN,A1_A,A1_B,D,K,L,n,Th,C,B1_A,B1_B,RF_d,RF_f1,d,f1,f2,f3,W,X,Y,Z,b,m_kg,LSR,LZR,LZJ
45,6,400,406.4,426,540,495,22,16,M20,28,411.0,430,465,2,465,2,5.5,5,447,473,478,446,-,20.0,85,115,-
46,6,450,457.0,480,595,550,22,16,M20,30,462.0,485,520,2,520,2,5.5,5,497,523,524,496,-,24.5,90,120,-
47,6,500,508.0,530,645,600,22,20,M20,30,513.5,535,570,2,570,2,5.5,5,549,575,576,548,-,26.5,90,120,-
48,6,600,610.0,630,755,705,26,20,M24,32,616.5,636,670,2,670,2,5.5,5,649,675,676,648,-,35.0,100,135,-
49,10,10,17.2,14,90,60,14,4,M12,14,18.0,15,40,2,40,2,4.5,4,24,34,35,23,-,0.6,50,65,-
50,10,15,21.3,18,95,65,14,4,M12,14,22.5,19,45,2,45,2,4.5,4,29,39,40,28,-,0.5,50,65,-
51,10,20,26.9,25,105,75,14,4,M12,16,27.5,26,58,2,58,2,4.5,4,36,50,51,35,-,1.0,50,70,-
52,10,25,33.7,32,115,85,14,4,M12,16,34.5,33,68,2,68,2,4.5,4,43,57,58,42,-,1.0,50,70,-
53,10,32,42.4,38,140,100,18,4,M16,18,43.5,39,78,2,78,2,4.5,4,51,65,66,50,-,2.0,60,85,-
54,10,40,48.3,45,150,110,18,4,M16,18,49.5,46,88,2,88,2,4.5,4,61,75,76,60,-,2.0,60,85,-
55,10,50,60.3,57,165,125,18,4,M16,19,61.5,59,102,2,102,2,4.5,4,73,87,88,72,-,2.5,65,85,-
56,10,65,76.1,76,185,145,18,8,M16,20,77.5,78,122,2,122,2,4.5,4,95,109,110,94,-,3.0,65,90,-
57,10,80,88.9,89,200,160,18,8,M16,20,90.5,91,138,2,138,2,4.5,4,106,120,121,105,-,3.5,65,90,-
58,10,100,114.3,108,220,180,18,8,M16,22,116.0,110,158,2,158,2,5,4.5,129,149,150,128,-,4.5,70,95,-
59,10,125,139.7,133,250,210,18,8,M16,22,143.5,135,188,2,188,2,5,4.5,155,175,176,154,-,5.5,70,95,-
60,10,150,168.3,159,285,240,22,8,M20,24,170.5,161,212,2,212,2,5,4.5,183,203,204,182,-,7.0,80,105,-
61,10,200,219.1,219,340,295,22,8,M20,24,221.5,222,268,2,268,2,5,4.5,239,259,260,238,-,9.5,80,105,-
62,10,250,273.0,273,395,350,22,12,M20,26,276.5,276,320,2,320,2,5,4.5,292,312,313,291,-,12.0,80,110,-
63,10,300,323.9,325,445,400,22,12,M20,26,328.0,328,370,2,370,2,5,4.5,343,363,364,342,-,13.5,80,110,-
64,10,350,355.6,377,505,460,22,16,M20,28,360.0,381,430,2,430,2,5.5,5,395,421,422,394,-,20.5,85,115,-
65,10,400,406.4,426,565,515,26,16,M24,32,411.0,430,482,2,482,2,5.5,5,447,473,478,446,-,27.5,100,135,-
66,10,450,457.0,480,615,565,26,20,M24,36,462.0,485,532,2,532,2,5.5,5,497,523,524,496,-,33.5,105,140,-
67,10,500,508.0,530,670,620,26,20,M24,38,513.5,535,585,2,585,2,5.5,5,549,575,576,548,-,40.0,110,145,-
68,10,600,610.0,630,780,725,30,20,M27,42,616.5,636,685,2,685,2,5.5,5,649,675,676,648,-,54.5,120,160,-
69,16,10,17.2,14,90,60,14,4,M12,14,18.0,15,40,2,40,2,4.5,4,24,34,35,23,4,0.6,50,65,-
70,16,15,21.3,18,95,65,14,4,M12,14,22.5,19,45,2,45,2,4.5,4,29,39,40,28,4,0.5,50,65,-
71,16,20,26.9,25,105,75,14,4,M12,16,27.5,26,58,2,58,2,4.5,4,36,50,51,35,4,1.0,50,70,-
72,16,25,33.7,32,115,85,14,4,M12,16,34.5,33,68,2,68,2,4.5,4,43,57,58,42,5,1.0,50,70,-
73,16,32,42.4,38,140,100,18,4,M16,18,43.5,39,78,2,78,2,4.5,4,51,65,66,50,5,2.0,60,85,-
74,16,40,48.3,45,150,110,18,4,M16,18,49.5,46,88,2,88,2,4.5,4,61,75,76,60,5,2.0,60,85,-
75,16,50,60.3,57,165,125,18,4,M16,19,61.5,59,102,2,102,2,4.5,4,73,87,88,72,5,2.5,65,85,-
76,16,65,76.1,76,185,145,18,8,M16,20,77.5,78,122,2,122,2,4.5,4,95,109,110,94,6,3.0,65,90,-
77,16,80,88.9,89,200,160,18,8,M16,20,90.5,91,138,2,138,2,4.5,4,106,120,121,105,6,3.5,65,90,-
78,16,100,114.3,108,220,180,18,8,M16,22,116.0,110,158,2,158,2,5,4.5,129,149,150,128,6,4.5,70,95,-
