,Class,PN,DN2,DN,A1_A,D,K,L,Th,n,C,N_A,R,H,RF_d,RF_f1,f2,c_num,RJ_d,P,E,F,RJ_r,m_kg,LSR,LZR
42,600,class_600,950,"38""",965.2,1270,1162.0,60,M56,28,152.4,1022,14,254,1054,7,-,-,-,-,-,-,-,667.4,-,460
43,600,class_600,1000,"40""",1016.0,1320,1212.8,60,M56,32,158.8,1073,14,264,1111,7,-,-,-,-,-,-,-,740.1,-,475
44,600,class_600,1050,"42""",1066.8,1405,1282.7,68,M64,32,168.3,1127,14,279,1168,7,-,-,-,-,-,-,-,921.7,-,510
45,600,class_600,1100,"44""",1117.6,1455,1333.5,68,M64,32,173.1,1181,14,289,1226,7,-,-,-,-,-,-,-,980.7,-,520
46,600,class_600,1150,"46""",1168.4,1510,1390.6,68,M64,32,179.4,1235,14,300,1276,7,-,-,-,-,-,-,-,1094.2,-,530
47,600,class_600,1200,"48""",1219.2,1595,1460.5,74,M70,32,189.0,1289,14,316,1334,7,-,-,-,-,-,-,-,1296.2,-,565
48,600,class_600,1250,"50""",1270.0,1670,1524.0,80,M76,32,196.9,1343,14,329,1384,7,-,-,-,-,-,-,-,1511.9,-,590
49,600,class_600,1300,"52""",1320.8,1720,1574.8,80,M76,32,203.2,1394,14,337,1435,7,-,-,-,-,-,-,-,1616.3,-,605
50,600,class_600,1350,"54""",1371.6,1780,1632.0,80,M76,32,209.6,1448,14,349,1492,7,-,-,-,-,-,-,-,1779.7,-,615
51,600,class_600,1400,"56""",1422.4,1855,1695.4,86,M82,32,217.5,1502,16,362,1543,7,-,-,-,-,-,-,-,1943.2,-,645
52,600,class_600,1450,"58""",1473.2,1905,1746.2,86,M82,32,222.3,1553,16,370,1600,7,-,-,-,-,-,-,-,2106.6,-,655
53,600,class_600,1500,"60""",1524.0,1995,1822.4,94,M90,28,233.4,1610,17,389,1657,7,-,-,-,-,-,-,-,2270.0,-,690
54,900,class_900,650,"26""",660.4,1085,952.5,74,M70,20,139.7,775,11,286,749,7,-,R100,832,749.3,17.48,30.18,2.3,692.4,-,465
55,900,class_900,700,"28""",711.2,1170,1022.4,80,M76,20,142.9,832,13,298,800,7,-,R101,889,800.1,17.48,33.32,2.3,821.8,-,480
56,900,class_900,750,"30""",762.0,1230,1085.9,80,M76,20,149.3,889,13,311,857,7,-,R102,946,857.25,17.48,33.32,2.3,962.5,-,495
57,900,class_900,800,"32""",812.8,1315,1155.7,86,M82,20,158.8,946,13,330,914,7,-,R103,1003,914.4,17.48,33.32,2.3,1155.5,-,525
58,900,class_900,850,"34""",863.6,1395,1225.6,94,M90,20,165.1,1006,14,349,965,7,-,R104,1067,965.2,20.62,36.53,2.3,1348.4,-,555
59,900,class_900,900,"36""",914.4,1460,1289.1,94,M90,20,171.5,1064,14,362,1022,7,-,R105,1124,1022.35,20.62,36.53,2.3,1541.4,-,565
60,900,class_900,950,"38""",965.2,1460,1289.1,94,M90,20,190.5,1073,19,352,1099,7,-,-,-,-,-,-,-,1536.8,-,605
61,900,class_900,1000,"40""",1016.0,1510,1339.9,94,M90,24,196.9,1127,21,364,1162,7,-,-,-,-,-,-,-,1643.5,-,620
