,PN,DN,D,K,L,n,Th,C,N,R,S_min,S1,RF_d,RF_f1,d,f1,f2,f3,W,X,Y,Z,RJ_d,P,E,F,RJ_r,LSR,LZR,LZJ
44,10,350,505,460,22,16,M20,26,408,12,16.0,29.0,430,2,430,2,5.5,5,395,421,422,394,-,-,-,-,-,80,110,-
45,10,400,565,515,26,16,M24,26,456,12,18.0,28.0,482,2,482,2,5.5,5,447,473,478,446,-,-,-,-,-,85,120,-
46,10,450,615,565,26,20,M24,28,502,12,20.0,26.0,532,2,532,2,5.5,5,497,523,524,496,-,-,-,-,-,90,125,-
47,10,500,670,620,26,20,M24,28,559,12,21.0,29.5,585,2,585,2,5.5,5,549,575,576,548,-,-,-,-,-,90,125,-
48,10,600,780,725,30,20,M27,34,658,12,23.0,29.0,685,2,685,2,5.5,5,649,675,676,648,-,-,-,-,-,105,145,-
49,10,700,895,840,30,24,M27,34,772,12,24.0,36.0,800,2,800,-,-,-,-,-,-,-,-,-,-,-,-,105,145,-
50,10,800,1015,950,33,24,M30,36,876,12,26.0,38.0,905,2,905,-,-,-,-,-,-,-,-,-,-,-,-,115,155,-
51,10,900,1115,1050,33,28,M30,38,976,12,27.0,38.0,1005,2,1005,-,-,-,-,-,-,-,-,-,-,-,-,115,155,-
52,10,1000,1230,1160,36,28,M33,38,1080,16,29.0,40.0,1110,2,1110,-,-,-,-,-,-,-,-,-,-,-,-,120,165,-
53,10,1200,1455,1380,39,32,M36*3,44,1292,16,32.0,46.0,1330,2,1330,-,-,-,-,-,-,-,-,-,-,-,-,135,180,-
54,10,1400,1675,1590,42,36,M39*3,48,1496,16,34.0,48.0,1535,2,1535,-,-,-,-,-,-,-,-,-,-,-,-,145,195,-
55,10,1600,1915,1820,48,40,M45*3,52,1712,16,36.0,56.0,1760,2,1760,-,-,-,-,-,-,-,-,-,-,-,-,160,220,-
56,10,1800,2115,2020,48,44,M45*3,56,1910,16,39.0,55.0,1960,2,1960,-,-,-,-,-,-,-,-,-,-,-,-,165,230,-
57,10,2000,2325,2230,48,48,M45*3,60,2120,16,41.0,60.0,2170,2,2170,-,-,-,-,-,-,-,-,-,-,-,-,175,235,-
58,16,10,90,60,14,4,M12,16,28,4,6.0,10.0,40,2,40,2,4.5,4,24,34,35,23,-,-,-,-,-,50,70,-
59,16,15,95,65,14,4,M12,16,32,4,6.0,11.0,45,2,45,2,4.5,4,29,39,40,28,-,-,-,-,-,50,70,-
60,16,20,105,75,14,4,M12,18,40,4,6.5,12.0,58,2,58,2,4.5,4,36,50,51,35,-,-,-,-,-,55,75,-
61,16,25,115,85,14,4,M12,18,50,4,7.0,14.0,68,2,68,2,4.5,4,43,57,58,42,-,-,-,-,-,55,75,-
62,16,32,140,100,18,4,M16,18,60,6,7.0,14.0,78,2,78,2,4.5,4,51,65,66,50,-,-,-,-,-,60,85,-
63,16,40,150,110,18,4,M16,18,70,6,7.5,14.0,88,2,88,2,4.5,4,61,75,76,60,-,-,-,-,-,60,85,-
64,16,50,165,125,18,4,M16,18,84,5,8.0,15.0,102,2,102,2,4.5,4,73,87,88,72,-,-,-,-,-,60,85,-
65,16,65,185,145,18,8,M16,18,104,6,8.0,14.0,122,2,122,2,4.5,4,95,109,110,94,-,-,-,-,-,60,85,-
66,16,80,200,160,18,8,M16,20,120,6,8.5,15.0,138,2,138,2,4.5,4,106,120,121,105,-,-,-,-,-,65,90,-
67,16,100,220,180,18,8,M16,20,140,8,9.5,15.0,158,2,158,2,5,4.5,129,149,150,128,-,-,-,-,-,65,90,-
68,16,125,250,210,18,8,M16,22,170,8,10.0,17.0,188,2,188,2,5,4.5,155,175,176,154,-,-,-,-,-,70,95,-
69,16,150,285,240,22,8,M20,22,190,10,11.0,17.0,212,2,212,2,5,4.5,183,203,204,182,-,-,-,-,-,75,105,-
70,16,200,340,295,22,12,M20,24,246,10,12.0,18.0,268,2,268,2,5,4.5,239,259,260,238,-,-,-,-,-,80,105,-
71,16,250,405,355,26,12,M24,26,296,12,14.0,20.0,320,2,320,2,5,4.5,292,312,313,291,-,-,-,-,-,85,120,-
72,16,300,460,410,26,12,M24,28,350,12,15.0,21.0,378,2,378,2,5,4.5,343,363,364,342,-,-,-,-,-,90,125,-
73,16,350,520,470,26,16,M24,30,410,12,16.0,23.0,428,2,428,2,5.5,5,395,421,422,394,-,-,-,-,-,95,130,-
74,16,400,580,525,30,16,M27,32,458,12,18.0,24.0,490,2,490,2,5.5,5,447,473,478,446,-,-,-,-,-,100,140,-
75,16,450,640,585,30,20,M27,40,516,12,20.0,27.0,550,2,550,2,5.5,5,497,523,524,496,-,-,-,-,-,120,155,-
76,16,500,715,650,33,20,M30,44,576,12,21.0,30.0,610,2,610,2,5.5,5,549,575,576,548,-,-,-,-,-,130,170,-
77,16,600,840,770,36,20,M33,54,690,12,23.0,30.0,725,2,725,2,5.5,5,649,675,676,648,-,-,-,-,-,155,195,-
78,16,700,910,840,36,24,M33,42,760,12,24.0,32.0,795,2,795,-,-,-,-,-,-,-,-,-,-,-,-,130,175,-
79,16,800,1025,950,39,24,M36*3,42,862,12,26.0,33.0,900,2,900,-,-,-,-,-,-,-,-,-,-,-,-,130,175,-
80,16,900,1125,1050,39,28,M39*3,44,962,12,27.0,35.0,1000,2,1000,-,-,-,-,-,-,-,-,-,-,-,-,140,190,-
81,16,1000,1255,1170,42,28,M39*3,46,1076,16,29.0,39.0,1115,2,1115,-,-,-,-,-,-,-,-,-,-,-,-,140,195,-
82,16,1200,1485,1390,48,32,M45*3,52,1282,16,32.0,44.0,1330,2,1330,-,-,-,-,-,-,-,-,-,-,-,-,160,220,-
83,16,1400,1685,1590,48,36,M45*3,58,1482,16,34.0,48.0,1530,2,1530,-,-,-,-,-,-,-,-,-,-,-,-,170,235,-
84,16,1600,1930,1820,55,40,M52*4,64,1696,16,36.0,51.0,1750,2,1750,-,-,-,-,-,-,-,-,-,-,-,-,190,260,-
85,16,1800,2130,2020,55,44,M52*4,68,1896,16,39.0,53.0,1950,2,1950,-,-,-,-,-,-,-,-,-,-,-,-,200,265,-
86,16,2000,2345,2230,62,48,M56*4,70,2100,16,41.0,56.0,2150,2,2150,-,-,-,-,-,-,-,-,-,-,-,-,205,280,-
87,25,10,90,60,14,4,M12,16,28,4,6.0,10.0,40,2,40,2,4.5,4,24,34,35,23,-,-,-,-,-,-,70,-
88,25,15,95,65,14,4,M12,16,32,4,6.0,11.0,45,2,45,2,4.5,4,29,39,40,28,-,-,-,-,-,-,70,-
89,25,20,105,75,14,4,M12,18,40,4,6.5,12.0,58,2,58,2,4.5,4,36,50,51,35,-,-,-,-,-,-,75,-
90,25,25,115,85,14,4,M12,18,50,4,7.0,14.0,68,2,68,2,4.5,4,43,57,58,42,-,-,-,-,-,-,75,-
91,25,32,140,100,18,4,M16,18,60,6,7.0,14.0,78,2,78,2,4.5,4,51,65,66,50,-,-,-,-,-,-,85,-
92,25,40,150,110,18,4,M16,18,70,6,7.5,14.0,88,2,88,2,4.5,4,61,75,76,60,-,-,-,-,-,-,85,-
93,25,50,165,125,18,4,M16,20,84,6,8.0,15.0,102,2,102,2,4.5,4,73,87,88,72,-,-,-,-,-,-,90,-
94,25,65,185,145,18,8,M16,22,104,6,8.5,17.0,122,2,122,2,4.5,4,95,109,110,94,-,-,-,-,-,-,95,-
95,25,80,200,160,18,8,M16,24,120,8,9.0,18.0,138,2,138,2,4.5,4,106,120,121,105,-,-,-,-,-,-,95,-
96,25,100,235,190,22,8,M20,24,142,8,10.0,18.0,162,2,162,2,5,4.5,129,149,150,128,-,-,-,-,-,-,105,-
97,25,125,270,220,26,8,M24,26,162,8,11.0,20.0,188,2,188,2,5,4.5,155,175,176,154,-,-,-,-,-,-,120,-
98,25,150,300,250,26,8,M24,28,192,10,12.0,21.0,218,2,218,2,5,4.5,183,203,204,182,-,-,-,-,-,-,125,-
99,25,200,360,310,26,12,M24,30,252,10,12.0,23.0,278,2,278,2,5,4.5,239,259,260,238,-,-,-,-,-,-,130,-
100,25,250,425,370,30,12,M27,32,304,12,14.0,24.0,335,2,335,2,5,4.5,292,312,313,291,-,-,-,-,-,-,140,-
101,25,300,485,430,30,16,M27,34,364,12,15.0,26.0,395,2,395,2,5,4.5,343,363,364,342,-,-,-,-,-,-,145,-
102,25,350,555,490,33,16,M30,38,118,12,16.0,29.0,450,2,450,2,5.5,5,395,421,422,394,-,-,-,-,-,-,155,-
103,25,400,620,550,36,16,M33,40,472,12,18.0,30.0,505,2,505,2,5.5,5,447,473,478,446,-,-,-,-,-,-,170,-
104,25,450,670,600,36,20,M33,46,520,12,19.0,31.0,555,2,555,2,5.5,5,497,523,524,496,-,-,-,-,-,-,180,-
105,25,500,730,660,36,20,M33,48,580,12,21.0,33.0,615,2,615,2,5.5,5,549,575,576,548,-,-,-,-,-,-,185,-
106,25,600,845,770,39,20,M36*3,58,684,12,23.0,35.0,720,2,720,2,5.5,5,649,675,676,648,-,-,-,-,-,-,210,-
107,25,700,960,875,42,24,M39*3,50,780,12,24.0,38.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,200,-
108,25,800,1085,990,48,24,M45*3,54,882,12,26.0,41.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,225,-
109,25,900,1185,1090,48,28,M45*3,58,982,12,27.0,44.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,235,-
110,25,100,1320,1210,55,28,M52*4,62,1086,16,29.0,47.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,255,-
111,25,1200,1530,1420,55,32,M52*4,70,1296,18,32.0,53.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,270,-
112,40,10,90,60,14,4,M12,16,28,4,6.0,10.0,40,2,40,2,4.5,4,24,34,35,23,-,-,-,-,-,-,70,-
113,40,15,95,65,14,4,M12,16,32,4,6.0,11.0,45,2,45,2,4.5,4,29,39,40,28,-,-,-,-,-,-,70,-
114,40,20,105,75,14,4,M12,18,40,4,6.5,12.0,58,2,58,2,4.5,4,36,50,51,35,-,-,-,-,-,-,75,-
115,40,25,115,85,14,4,M12,18,50,4,7.0,14.0,68,2,68,2,4.5,4,43,57,58,42,-,-,-,-,-,-,75,-
116,40,32,140,100,18,4,M16,18,60,6,7.0,14.0,78,2,78,2,4.5,4,51,65,66,50,-,-,-,-,-,-,85,-
117,40,40,150,110,18,4,M16,18,70,6,7.5,14.0,88,2,88,2,4.5,4,61,75,76,60,-,-,-,-,-,-,85,-
118,40,50,165,125,18,4,M16,20,84,6,8.0,15.0,102,2,102,2,4.5,4,73,87,88,72,-,-,-,-,-,-,90,-
119,40,65,185,145,18,8,M16,22,104,6,8.5,17.0,122,2,122,2,4.5,4,95,109,110,94,-,-,-,-,-,-,95,-
120,40,80,200,160,18,8,M16,24,120,8,9.0,18.0,138,2,138,2,4.5,4,106,120,121,105,-,-,-,-,-,-,95,-
121,40,100,235,190,22,8,M20,24,142,8,10.0,18.0,162,2,162,2,5,4.5,129,149,150,128,-,-,-,-,-,-,105,-
122,40,125,270,220,26,8,M24,26,162,8,11.0,20.0,188,2,188,2,5,4.5,155,175,176,154,-,-,-,-,-,-,120,-
123,40,150,300,250,26,8,M24,28,192,10,12.0,21.0,218,2,218,2,5,4.5,183,203,204,182,-,-,-,-,-,-,125,-
124,40,200,375,320,30,12,M27,34,254,10,14.0,26.0,285,2,285,2,5,4.5,239,259,260,238,-,-,-,-,-,-,145,-
125,40,250,450,385,33,12,M30,38,312,12,16.0,29.0,345,2,345,2,5,4.5,292,312,313,291,-,-,-,-,-,-,155,-
126,40,300,515,450,33,16,M30,42,378,12,17.0,32.0,410,2,410,2,5,4.5,343,363,364,342,-,-,-,-,-,-,165,-
127,40,350,580,510,36,16,M33,46,432,12,19.0,35.0,465,2,465,2,5.5,5,395,421,422,394,-,-,-,-,-,-,180,-
128,40,400,660,585,39,16,M36*3,50,498,12,21.0,38.0,535,2,535,2,5.5,5,447,473,478,446,-,-,-,-,-,-,190,-
129,40,450,685,610,39,20,M36*3,57,522,12,21.0,38.0,560,2,560,2,5.5,5,497,523,524,496,-,-,-,-,-,-,205,-
