,Class,PN,DN2,DN,A1_A,A1_B,D,K,L,Th,n,C,N_A,N_B,H,RF_d,RF_f1,f1,d,W,X,Y,Z,f2,f3,c_num,RJ_d,P,E,F,RJ_R,m_kg,LSR,LZR,LZM,LZJ
30,300,class_300,200,"8""",219.1,-,380,330.2,26,M24,12,39.7,260,-,305,269.9,2,2,281,238.1,269.9,271.5,236.5,7,5,R49,302,269.88,7.92,11.91,0.8,66.37,-,155,160,170
31,300,class_300,250,"10""",273.0,-,445,387.4,30,M27,16,46.1,321,-,305,323.8,2,2,335,285.8,323.8,325.4,284.2,7,5,R53,356,323.85,7.92,11.91,0.8,94.23,-,175,180,185
32,300,class_300,300,"12""",323.9,-,520,450.8,33,M30,16,49.3,375,-,305,381.0,2,2,392,342.9,381,382.6,341.3,7,5,R57,413,381,7.92,11.91,0.8,125.16,-,190,195,200
33,300,class_300,350,"14""",355.6,-,585,514.4,33,M30,20,52.4,425,-,305,412.8,2,2,424,374.6,412.8,414.3,373.1,7,5,R61,457,419.1,7.92,11.91,0.8,175.2,-,195,200,210
34,300,class_300,400,"16""",406.4,-,650,571.5,36,M33,20,55.6,483,-,305,469.9,2,2,481,425.4,469.9,471.5,423.9,7,5,R65,508,469.9,7.92,11.91,0.8,221.1,-,210,215,220
35,300,class_300,450,"18""",457.0,-,710,628.6,36,M33,24,58.8,533,-,305,533.4,2,2,544,489,533.4,535,487.4,7,5,R69,575,533.4,7.92,11.91,0.8,256.89,-,215,220,225
36,300,class_300,500,"20""",508.0,-,775,685.8,36,M33,24,62.0,587,-,305,584.2,2,2,595,533.4,584.2,585.8,531.8,7,5,R73,635,584.2,9.53,13.49,1.5,307.16,-,220,225,240
37,300,class_300,600,"24""",610.0,-,915,812.8,42,M39*3,24,68.3,702,-,305,692.2,2,2,703,641.4,692.2,693.7,639.8,7,5,R77,749,692.15,11.13,16.66,1.5,431.02,-,250,255,265
38,600,class_600,15,"1/2""",21.3,-,95,66.7,16,M14,4,14.3,38,-,229,34.9,2,2,46,25.4,34.9,36.5,23.8,7,5,R11,51,34.14,5.54,7.14,0.8,2.3,-,85,80,85
39,600,class_600,20,"3/4""",26.9,-,115,82.6,18,M16,4,15.9,48,-,229,42.9,2,2,54,33.3,42.9,44.4,31.8,7,5,R13,63.5,42.88,6.35,8.74,0.8,3.61,-,95,90,95
40,600,class_600,25,"1""",33.7,-,125,88.9,18,M16,4,17.5,54,-,229,50.8,2,2,62,38.1,50.8,52.4,36.5,7,5,R16,70,50.8,6.35,8.74,0.8,4.37,-,95,90,95
41,600,class_600,32,"1 1/4""",42.4,-,135,98.4,18,M16,4,20.7,64,-,229,63.5,2,2,75,47.6,63.5,65.1,46,7,5,R18,79.5,60.33,6.35,8.74,0.8,5.77,-,105,100,105
42,600,class_600,40,"1 1/2""",48.3,-,155,114.3,22,M20,4,22.3,70,-,229,73.0,2,2,84,54,73,74.6,52.4,7,5,R20,90.5,68.27,6.35,8.74,0.8,7.02,-,120,115,115
43,600,class_600,50,"2""",60.3,-,165,127.0,18,M16,8,25.4,84,-,229,92.1,2,2,103,73,92.1,93.7,71.4,7,5,R23,108,82.55,7.92,11.91,0.8,9.08,-,115,110,115
44,600,class_600,65,"2 1/2""",76.1,-,190,149.2,22,M20,8,28.6,100,-,229,104.8,2,2,116,85.7,104.8,106.4,84.1,7,5,R26,127,101.6,7.92,11.91,0.8,12.09,-,130,125,135
45,600,class_600,80,"3""",88.9,-,210,168.3,22,M20,8,31.8,117,-,229,127.0,2,2,138,108,127,128.6,106.4,7,5,R31,146,123.83,7.92,11.91,0.8,16.37,-,135,130,140
46,600,class_600,100,"4""",114.3,-,275,215.9,26,M24,8,38.1,152,-,229,157.2,2,2,168,131.8,157.2,158.8,130.2,7,5,R37,175,149.23,7.92,11.91,0.8,29.56,-,160,155,165
47,600,class_600,125,"5""",139.7,-,330,266.7,30,M27,8,44.5,189,-,305,185.7,2,2,197,160.3,185.7,187.3,158.8,7,5,R41,210,180.98,7.92,11.91,0.8,55.35,-,180,175,185
48,600,class_600,150,"6""",168.3,-,355,292.1,30,M27,12,47.7,222,-,305,215.9,2,2,227,190.5,215.9,217.5,188.9,7,5,R45,241,211.12,7.92,11.91,0.8,67.99,-,185,180,190
49,600,class_600,200,"8""",219.1,-,420,349.2,33,M30,12,55.6,273,-,305,269.9,2,2,281,238.1,269.9,271.5,236.5,7,5,R49,302,269.88,7.92,11.91,0.8,93.81,-,210,205,215
50,600,class_600,250,"10""",273.0,-,510,431.8,36,M33,16,63.5,343,-,305,323.8,2,2,335,285.8,323.8,325.4,284.2,7,5,R53,356,323.85,7.92,11.91,0.8,147.31,-,235,230,235
51,600,class_600,300,"12""",323.9,-,560,489.0,36,M33,20,66.7,400,-,305,381.0,2,2,392,342.9,381,382.6,341.3,7,5,R57,413,381,7.92,11.91,0.8,181.2,-,240,235,245
52,600,class_600,350,"14""",355.6,-,605,527.0,39,M36*3,20,69.9,432,-,305,412.8,2,2,424,374.6,412.8,414.3,373.1,7,5,R61,457,419.1,7.92,11.91,0.8,216.24,-,250,245,255
53,600,class_600,400,"16""",406.4,-,685,603.2,42,M39*3,20,76.2,495,-,305,469.9,2,2,481,425.4,469.9,471.5,423.9,7,5,R65,508,469.9,7.92,11.91,0.8,277.88,-,270,265,270
54,600,class_600,450,"18""",457.0,-,745,654.0,45,M42*3,20,82.6,546,-,305,533.4,2,2,544,489,533.4,535,487.4,7,5,R69,575,533.4,7.92,11.91,0.8,327.61,-,290,285,290
